"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000118762",22.2339832875629,0.0124018577310292,0.383572100335994,0.0323325333624778,0.974206864889298,0.986610480441655
"ENSG00000121897",71.1154958780349,-0.580443590519211,0.275821952064722,-2.10441404744684,0.0353423451043165,0.118712878340726
"ENSG00000178163",35.3791407956084,-0.641743867300371,0.304022203690566,-2.11084539060028,0.0347856032099134,0.117290374050995
"ENSG00000121892",215.719814266091,-0.114396096537683,0.128451965866173,-0.89057489907835,0.373157270229598,0.596292943980589
"ENSG00000138750",77.471442650654,0.671860107427766,0.241242239648427,2.78500194827778,0.00535274014424747,0.0262157199052832
"ENSG00000127415",13.2185397049853,0.512372444012248,0.520217535830819,0.984919593673363,0.324663568117427,0.547431146069524
"ENSG00000138757",408.06057427184,-0.547137392891092,0.106164900294824,-5.1536561648122,2.55456147778461e-07,3.79419907229111e-06
"ENSG00000127419",8.48190124621101,-0.208724517394362,0.618326503829861,-0.337563594802327,0.735692080469234,0.867051919902387
"ENSG00000127418",107.932158447928,-0.361140208700823,0.203145311943985,-1.77774325799063,0.0754460315322429,0.20663542840733
"ENSG00000138758",218.281254269213,0.559811313009976,0.134290003676997,4.16867449312514,3.0637616290302e-05,0.000302798716689482
"ENSG00000138759",282.688484141917,0.677093174684602,0.138129180327458,4.90188367931699,9.49220393369148e-07,1.26857348927593e-05
"ENSG00000186234",7.15153086658676,0.130877587719667,0.676464725801187,0.193472893305204,0.846588632989936,0.930013112525887
"ENSG00000078140",325.899774888683,-0.537304927371479,0.145437978954895,-3.69439214730915,0.000220413422021283,0.00175745098089916
"ENSG00000129116",58.8775471228626,-0.141597779072383,0.283017151719031,-0.500315186596735,0.616853162397928,0.79262289754604
"ENSG00000109790",78.4605207770715,0.423939518228094,0.219559769446034,1.93086155673112,0.0535001754143006,0.160841602042447
"ENSG00000172955",3.3401572796465,0.878711435729331,1.43982890184348,0.610288788205514,0.541670522631354,NA
"ENSG00000121089",51.719725613194,0.221987987605711,0.255155643858816,0.870010101475721,0.384294883887681,0.607330722101018
"ENSG00000170502",113.919959302421,-0.792577325392309,0.183570417900741,-4.31756562117142,1.57759514110344e-05,0.000165716517447334
"ENSG00000164342",1.59740091858056,-0.175677659107401,1.57768739429379,-0.111351374006534,0.911337718100695,NA
"ENSG00000213448",13.991035265066,0.634168940122501,0.497465181034132,1.27480065801628,0.202379807754265,0.407413169932508
"ENSG00000145147",36.6452427819468,0.310896390606527,0.298278981927788,1.04230069647279,0.297272289564345,0.519887467156246
"ENSG00000213446",2.72519196478722,1.30414496470019,1.20627058324115,1.08113799906822,0.2796357326243,NA
"ENSG00000210783",59.1206478993699,1.18938087400433,0.284542055633599,4.17998271417523,2.91531255442239e-05,0.00028877559616349
"ENSG00000128050",652.709981624087,0.470351082425093,0.0962843019715809,4.88502354790837,1.034164933776e-06,1.36962023927566e-05
"ENSG00000164124",15.5349768701174,1.80639061856571,0.511424052632262,3.53207990368922,0.00041230475244799,0.00297652922434295
"ENSG00000168152",7.04477454056733,-0.224780995064047,0.704485009778633,-0.319071366947437,0.749672395606918,0.874028908696358
"ENSG00000172493",369.892718339018,0.176630269759169,0.102610903795482,1.72135965307563,0.0851855809047588,0.225110111492297
"ENSG00000128059",31.6408789117809,-0.163150982007416,0.328217875762685,-0.49708134155795,0.619131691682999,0.793496498874835
"ENSG00000169019",10.7278308489154,0.691209871349489,0.698684892520867,0.989301298408775,0.32251574898958,0.545541628190932
"ENSG00000164123",6.76182764657375,0.876720366867654,0.791844382762501,1.10718770752537,0.26821278109035,0.486133364655729
"ENSG00000156136",6.37269727274247,-0.147555546797481,0.695577772700608,-0.212133786599578,0.832002661590495,0.922740644868043
"ENSG00000163145",1.80827840502891,-1.59127569835434,1.68940697378467,-0.941913773914114,0.346236787574372,NA
"ENSG00000109670",34.8923092222505,0.0323099749594925,0.400894372496251,0.0805947331171246,0.935764254944216,0.970302436177433
"ENSG00000159692",670.600165904365,-1.0496188136587,0.114248331264186,-9.18716975595534,4.03312996891391e-20,2.08837051409958e-18
"ENSG00000130997",24.4225485317668,0.555044039037915,0.397677803312626,1.39571289726115,0.162800968922541,0.350501221857692
"ENSG00000198301",85.3951635815178,-1.12127109699974,0.2130084047371,-5.2639758435055,1.40972980804086e-07,2.17963376877887e-06
"ENSG00000173040",4.2120281571134,-0.694763325640257,1.2037442938199,-0.57716853089748,0.563825613169111,0.754128180336806
"ENSG00000181826",10.2403023698215,0.169737548895208,0.559348970809418,0.30345554877769,0.761542718217236,0.880735998722393
"ENSG00000184701",14.9448291096084,-0.00372178754204413,0.495087583110844,-0.00751743260992039,0.994002013076554,0.997231051853389
"ENSG00000080493",147.179821461784,0.876527300746757,0.195916185573679,4.47399125386258,7.67728834354237e-06,8.52957684886994e-05
"ENSG00000118564",63.9000240991877,-0.667629106394205,0.242216981670925,-2.75632658696591,0.00584545995473897,0.0281075940431076
"ENSG00000221569",22.5155979311017,0.862452879215357,0.397021624177556,2.17230706514276,0.0298325094831848,0.104512723591396
"ENSG00000163132",8.78727473160151,-0.674829553319124,0.626889665996198,-1.07647260741927,0.281715945308084,0.501717611446181
"ENSG00000163138",81.709492263766,-0.374046956220307,0.248061341810148,-1.507880887408,0.131585015092411,0.305136729764698
"ENSG00000138685",4.06280927550168,0.26705149123984,1.04911466510617,0.254549383515495,0.799071157595267,0.902389772247002
"ENSG00000047365",4.9407811556815,-1.22209735516748,0.860294631265031,-1.42055676131609,0.155445656165199,0.340210458582163
"ENSG00000014824",119.45215075928,-0.234036504003711,0.166753099445476,-1.40349117816688,0.16047042080588,0.347409646879953
"ENSG00000121210",43.6959402300014,1.4143680324377,0.377803955197082,3.74365597019728,0.000181361934976144,0.00147638901937423
"ENSG00000145362",20.000193502238,-0.45437077905317,0.527236578447018,-0.861796767575429,0.388799364009447,0.611574057145889
"ENSG00000145365",1.55093042550716,-1.2544379633135,1.40089384112586,-0.895455406032299,0.370543693929146,NA
"ENSG00000145244",42.9928709914628,0.0704635225009126,0.303326906968722,0.232302248439103,0.816303266201389,0.913119987031781
"ENSG00000145246",1.59665479917647,0.952997010739955,1.43783677026221,0.662799165002691,0.507459188491132,NA
"ENSG00000145247",61.1666536643682,0.720881625191774,0.238566669397708,3.02171978596897,0.00251343100230166,0.0139789532844609
"ENSG00000215367",3.72960562262361,-0.444102246833636,0.942584916425369,-0.471153568336141,0.637531073481778,0.806009220054901
"ENSG00000145241",9.94133409278061,-0.433908605177297,0.608650344436627,-0.712902915678012,0.475905834832219,0.687304621075801
"ENSG00000145242",790.988644635466,0.56018515258138,0.078379517755278,7.14708598144772,8.8639362218899e-13,2.63009918817605e-11
"ENSG00000215240",6.15198855866418,-0.00174947072271859,0.719080485679075,-0.00243292754783416,0.998058806587063,0.999497040741417
"ENSG00000215241",11.9547813281366,-1.01725587069167,0.524660172650708,-1.9388852512899,0.0525153122366973,0.158744198271697
"ENSG00000164144",80.2690773761495,-0.521129687790711,0.243680730398271,-2.13857569672817,0.0324700475270844,0.11141749156643
"ENSG00000125089",8.79149047452056,-0.313794375032226,0.611813363386475,-0.512892319473588,0.608026646327926,0.786585497980031
"ENSG00000038295",36.3470346098669,2.51228492910012,0.371093526854808,6.7699508272023,1.28826173080082e-11,3.37504124870912e-10
"ENSG00000176201",6.43107300185671,-0.512386983205016,0.85649782714028,-0.598235006521617,0.549683136447904,0.744870292863108
"ENSG00000213759",10.6059277801594,-2.46079592947517,0.615303252461262,-3.99932215477781,6.35241621991229e-05,0.000577667381320398
"ENSG00000154553",1.31140118129416,-0.231545221574467,2.03807102142803,-0.113609986668781,0.909546970396827,NA
"ENSG00000178950",177.180428682433,0.285227275184286,0.207861872075208,1.37219622019513,0.170002361781381,0.361531866683527
"ENSG00000087269",213.278299214142,0.364217464283571,0.152788404795788,2.38380304297549,0.0171347702038552,0.0670760467748899
"ENSG00000163629",232.967596590733,-1.48447389825101,0.141860679586756,-10.4643083804147,1.25993251812854e-25,9.56100515480991e-24
"ENSG00000163626",11.4652199665512,0.0703320640033763,0.590937284433205,0.119017814336821,0.905261242297804,0.958074078188477
"ENSG00000163624",14.5429168616504,-0.926336987740404,0.469278196092984,-1.97396127809198,0.0483861460693093,0.14976340194542
"ENSG00000163625",153.99941544987,0.183268021403803,0.168697597330743,1.08637007464009,0.277315295697571,0.49739618724827
"ENSG00000152990",46.9371473519413,0.614141411224474,0.306481503073426,2.00384494681018,0.0450866724038454,0.142456191055366
"ENSG00000152994",3.38364287512133,-1.35226589578404,1.0815115771499,-1.25034805392251,0.211172431529028,NA
"ENSG00000138641",283.430310442069,-2.02566894094461,0.158547984828123,-12.776377720225,2.22178357817518e-37,2.59614428019691e-35
"ENSG00000138642",19.1283532637926,-0.342282124329847,0.487128009434698,-0.702653343064912,0.48227181065583,0.692164889989085
"ENSG00000213493",1.80119398738877,2.2788851081283,1.70379170063653,1.33753739220406,0.181047285243038,NA
